City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Snowfall Last Hour,Rainfall Last Hour
136,Castro,BR,-24.79,-50.01,58.78,84,4,5.41,clear sky,0,0.0
137,Marzuq,YE,14.4,46.47,82.02,41,72,8.25,broken clouds,0,0.0
138,Leningradskiy,RU,69.38,178.42,43.32,70,57,11.74,broken clouds,0,0.0
139,Matara,LK,5.95,80.54,78.8,88,94,8.14,overcast clouds,0,0.0
140,Nanortalik,GL,60.14,-45.24,46.6,87,100,3.33,light rain,0,0.14
141,Tabory,RU,58.52,64.55,62.71,82,5,6.51,clear sky,0,0.0
142,Manaure,CO,11.78,-72.44,83.82,67,21,15.59,few clouds,0,0.0
143,Bengkulu,ID,-3.8,102.27,74.55,88,71,3.04,broken clouds,0,0.0
144,Borborema,BR,-21.62,-49.07,71.4,53,21,2.86,few clouds,0,0.0
145,Pacific Grove,US,36.62,-121.92,77.0,60,1,12.75,clear sky,0,0.0
146,Buala,SB,-8.14,159.59,82.99,78,97,14.58,moderate rain,0,2.22
147,Jibuti,DJ,11.5,42.5,100.4,29,75,3.36,broken clouds,0,0.0
148,Katobu,ID,-4.94,122.53,78.62,83,24,7.47,few clouds,0,0.0
149,Hami,CN,42.8,93.45,76.91,34,53,11.92,broken clouds,0,0.0
150,Sainte-Anne-Des-Monts,CA,49.12,-66.49,71.24,80,47,7.45,scattered clouds,0,0.0
151,Bandarbeyla,SO,9.49,50.81,82.06,65,69,30.33,broken clouds,0,0.0
152,Kruisfontein,ZA,-34.0,24.73,58.23,32,0,15.64,clear sky,0,0.0
153,Richards Bay,ZA,-28.78,32.04,57.04,69,0,11.54,clear sky,0,0.0
154,Faanui,PF,-16.48,-151.75,79.02,75,100,14.72,overcast clouds,0,0.0
155,Manggar,ID,-2.88,108.27,80.42,85,92,13.44,light rain,0,0.87
156,Tuatapere,NZ,-46.13,167.68,45.36,69,59,4.14,broken clouds,0,0.0
157,Swan Hill,AU,-35.34,143.55,52.14,78,0,12.82,clear sky,0,0.0
158,Isangel,VU,-19.55,169.27,78.8,69,75,11.41,broken clouds,0,0.0
159,Chicama,PE,-7.84,-79.15,63.14,81,11,5.06,few clouds,0,0.0
160,Atambua,ID,-9.11,124.89,76.32,63,100,5.73,overcast clouds,0,0.0
161,Purranque,CL,-40.92,-73.17,37.4,100,82,1.48,mist,0,0.0
162,Morant Bay,JM,17.88,-76.41,87.8,62,20,9.17,few clouds,0,0.0
163,Semme,FR,46.2,1.5,66.2,45,3,10.29,clear sky,0,0.0
164,Pangnirtung,CA,66.15,-65.71,48.81,61,43,1.5,scattered clouds,0,0.0
165,Atyrau,KZ,47.12,51.88,77.0,31,0,8.95,clear sky,0,0.0
166,Arraial Do Cabo,BR,-22.97,-42.03,72.99,78,69,15.68,broken clouds,0,0.0
167,Meadow Lake,US,34.8,-106.54,96.8,13,75,20.8,broken clouds,0,0.0
168,Deputatskiy,RU,69.3,139.9,68.97,46,32,6.35,scattered clouds,0,0.0
169,Bluff,NZ,-46.6,168.33,47.05,68,91,10.38,overcast clouds,0,0.0
170,Ivanteyevka,RU,55.97,37.92,60.8,87,75,8.95,broken clouds,0,0.0
171,Darhan,MN,49.49,105.92,66.54,71,15,4.07,few clouds,0,0.0
172,Cangzhou,CN,38.32,116.87,73.0,76,90,3.11,overcast clouds,0,0.0
173,Gamba,GA,-2.65,10.0,70.47,93,20,6.33,few clouds,0,0.0
174,Cayenne,GF,4.93,-52.33,78.8,94,31,2.24,light rain,0,0.0
175,Grindavik,IS,63.84,-22.43,50.0,93,90,5.82,overcast clouds,0,0.0
176,Sitka,US,57.05,-135.33,59.0,72,75,6.93,broken clouds,0,0.0
177,Shimoda,JP,34.67,138.95,69.8,83,75,5.82,broken clouds,0,0.0
178,Lata,PT,40.16,-8.33,70.0,93,0,1.12,clear sky,0,0.0
179,Aban,RU,56.67,96.06,61.68,71,72,6.04,broken clouds,0,0.0
180,Fort Nelson,CA,58.81,-122.7,69.8,43,75,13.87,broken clouds,0,0.0
181,Quatre Cocos,MU,-20.21,57.76,71.6,83,75,13.87,shower rain,0,0.0
182,Kidal,ML,18.44,1.41,87.98,35,50,13.78,scattered clouds,0,0.0
183,Ludvika,SE,60.15,15.19,51.8,76,56,4.7,broken clouds,0,0.0
184,Qasigiannguit,GL,68.82,-51.19,48.2,70,36,3.36,scattered clouds,0,0.0
185,Belaya Gora,RU,68.53,146.42,75.88,37,96,10.07,overcast clouds,0,0.0
186,Souillac,MU,-20.52,57.52,71.6,83,75,13.87,shower rain,0,0.0
187,Soyo,AO,-6.13,12.37,71.83,83,18,9.01,few clouds,0,0.0
188,Christchurch,NZ,-43.53,172.63,48.0,81,41,3.36,scattered clouds,0,0.0
189,Ostrov,RU,57.34,28.35,51.8,87,32,4.47,scattered clouds,0,0.0
190,Sao Lourenco Do Sul,BR,-31.37,-51.98,45.0,97,81,7.81,broken clouds,0,0.0
191,Tual,ID,-5.67,132.75,79.07,81,44,22.41,scattered clouds,0,0.0
192,Kosa,RU,59.94,55.0,56.52,83,22,3.27,few clouds,0,0.0
193,Vestmanna,FO,62.16,-7.17,50.0,93,100,16.11,light rain,0,0.32
194,Bemidji,US,47.47,-94.88,80.01,47,75,4.7,broken clouds,0,0.0
195,Raudeberg,NO,61.99,5.14,53.6,76,90,5.82,overcast clouds,0,0.0
196,Sobolevo,RU,54.43,31.9,52.57,84,98,11.07,light rain,0,0.16
197,Yanam,IN,16.73,82.22,80.98,86,100,3.71,overcast clouds,0,0.0
198,Manyana,BW,-23.4,21.72,44.01,48,0,10.22,clear sky,0,0.0
